"id","code","name","account_type","reconcile"
"l10n_et_base_3009","300900","PAYE (Employment Income Tax) Payable","liability_current",""
"l10n_et_base_2302","230200","Customs Duty Clearing","asset_current",""
"l10n_et2212","2212","","asset_current",""
"l10n_et2213","2213","","asset_current",""
"l10n_et2214","2214","","asset_current",""
"l10n_et3006","3006","Withholding Tax Payable","liability_current",""
"l10n_et3007","3007","","liability_current",""
"l10n_et3008","3008","","liability_current",""
"l10n_et_base_5931","593100","Social Welfare Levy on Imports","expense_direct_cost",""
"l10n_et5111","5111","Cost of Goods and Services","expense_direct_cost",""
"l10n_et5901","5901","Inventory Adjustments","expense_direct_cost",""
"l10n_et5911","5911","Purchase Returns and Allowances","expense_direct_cost",""
"l10n_et6311","6311","Depreciation of vehicles and other vehicular transport","expense_depreciation",""
"l10n_et6313","6313","Depreciation of plant, machinery and equipment","expense_depreciation",""
"l10n_et6314","6314","Depreciation of buildings, furnishings and fixtures","expense_depreciation",""
"l10n_et6315","6315","Depreciation of livestock and transport animals","expense_depreciation",""
