"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","l10n_et_wht_kind","l10n_et_source_note","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids","is_base_affected"
"l10n_et_base_tax_wht_purchase_goods_3","3% WHT (Goods)","WHT 3% on goods purchases over ETB 20,000 per transaction","3% WHT","-3.0","percent","purchase","l10n_et_base_tax_group_withh_3","goods","Aug 2025 WHT rules (Proc 979/2016 art. 92 lineage) - re-verify before go-live","base","invoice","","","",""
"","","","","","","","","","","tax","invoice","l10n_et3006","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et3006","","",""
"l10n_et_base_tax_wht_purchase_services_3","3% WHT (Services)","WHT 3% on services purchases over ETB 10,000 per transaction","3% WHT","-3.0","percent","purchase","l10n_et_base_tax_group_withh_3","service","Aug 2025 WHT rules (Proc 979/2016 art. 92 lineage) - re-verify before go-live","base","invoice","","","",""
"","","","","","","","","","","tax","invoice","l10n_et3006","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et3006","","",""
"l10n_et_base_tax_wht_purchase_punitive_30","30% WHT (No TIN/Licence)","Punitive WHT 30% when the supplier lacks a TIN and/or business licence","30% WHT","-30.0","percent","purchase","l10n_et_base_tax_group_withh_30","punitive","Aug 2025 WHT rules (Proc 979/2016 art. 92 lineage) - re-verify before go-live","base","invoice","","","",""
"","","","","","","","","","","tax","invoice","l10n_et3006","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et3006","","",""
"l10n_et_base_tax_wht_purchase_foreign_digital_15","15% WHT (Foreign Digital)","WHT 15% on foreign digital services (no domestic threshold)","15% WHT","-15.0","percent","purchase","tax_group_withh_15","foreign_digital","Aug 2025 WHT rules - re-verify before go-live","base","invoice","","","",""
"","","","","","","","","","","tax","invoice","l10n_et3006","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et3006","","",""
"l10n_et_base_tax_wht_sale_3","3% WHT (Withheld by Customer)","WHT 3% withheld by the customer on qualifying sales","3% WHT","-3.0","percent","sale","l10n_et_base_tax_group_withh_3","","Aug 2025 WHT rules - re-verify before go-live","base","invoice","","","",""
"","","","","","","","","","","tax","invoice","l10n_et2213","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et2213","","",""
"id_tax04","","","","","","","","","","","","","l10n_et_base_fp_zero_rated","id_tax03",""
"id_tax06","","","","","","","","","","","","","l10n_et_base_fp_vat_exempt","id_tax03",""
"id_tax07","","","","","","","","","","","","","l10n_et_base_fp_zero_rated","id_tax08",""
"id_tax10","","","","","","","","","","","","","l10n_et_base_fp_vat_exempt","id_tax08",""
"l10n_et_base_tax_swl_import_3","3% Social Welfare Levy (Imports)","Social welfare levy 3% of CIF on imported goods (Reg. 519/2022). IN ADDITION to other import taxes; NOT creditable against income tax; does NOT enter the base of any other tax.","3% Levy","3.0","percent","purchase","l10n_et_base_tax_group_swl_3","","Council of Ministers Regulation No. 519/2022, effective 6 Aug 2022 (gazetted 22 Aug 2022) - re-verify against the Negarit Gazeta before go-live","base","invoice","","","","False"
"","","","","","","","","","","tax","invoice","l10n_et_base_5931","","",""
"","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","tax","refund","l10n_et_base_5931","","",""
